Category,Asset Name,Asset Type,Unity Path,Source Package / Folder,Likely Usage,Used In Scene,Scene Path,Notes
"Material","MAT_Blockout_SurvivalGate","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_SurvivalGate.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_UpperFloor","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_UpperFloor.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_Vent","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Vent.mat","_DiveProtocol","Surface material","No","","Project self resource"
"Material","MAT_Blockout_VulnerablePoint","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_VulnerablePoint.mat","_DiveProtocol","Surface material","Yes","SCN_L04_FacilityCore","Project self resource"
"Material","MAT_Blockout_Wall","Material","Assets/_DiveProtocol/Art/Materials/Blockout/MAT_Blockout_Wall.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource"
"Material","MAT_PF_Pickup_AmmoPack","Material","Assets/_DiveProtocol/Art/Materials/MAT_PF_Pickup_AmmoPack.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_PF_Pickup_BuildPart","Material","Assets/_DiveProtocol/Art/Materials/MAT_PF_Pickup_BuildPart.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource"
"Material","MAT_PF_Pickup_Medkit","Material","Assets/_DiveProtocol/Art/Materials/MAT_PF_Pickup_Medkit.mat","_DiveProtocol","Surface material","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource"
"Enemy","Enemy_Basic_Test 1","Prefab","Assets/_DiveProtocol/Prefabs/Enemies/Enemy_Basic_Test 1.prefab","_DiveProtocol","Enemy / character asset","Yes","SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Enemy","Enemy_Basic_Test","Prefab","Assets/_DiveProtocol/Prefabs/Enemies/Enemy_Basic_Test.prefab","_DiveProtocol","Enemy / character asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Door / Architecture","PF_Door_Basic","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/PF_Door_Basic.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Door / Architecture","PF_Door_Need_Fuse","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/PF_Door_Need_Fuse.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Lighting","PF_Light_BrokenFluorescent","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/PF_Light_BrokenFluorescent.prefab","_DiveProtocol","Lighting prop","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource; Check collider/NavMesh needs manually"
"Lighting","PF_Light_Emergency_Red Variant","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/PF_Light_Emergency_Red Variant.prefab","_DiveProtocol","Lighting prop","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource; Check collider/NavMesh needs manually"
"Lighting","PF_Light_FallenTaskLamp","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/PF_Light_FallenTaskLamp.prefab","_DiveProtocol","Lighting prop","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource; Check collider/NavMesh needs manually"
"Door / Architecture","PF_Single_Door","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/PF_Single_Door.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Unknown","Pickup_Keycard","Prefab","Assets/_DiveProtocol/Prefabs/Gameplay/Pickup_Keycard.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Unknown","PF_Pickup_AmmoPack","Prefab","Assets/_DiveProtocol/Prefabs/Pickups/PF_Pickup_AmmoPack.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"UI","PF_Pickup_BuildPart","Prefab","Assets/_DiveProtocol/Prefabs/Pickups/PF_Pickup_BuildPart.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Unknown","PF_Pickup_Medkit","Prefab","Assets/_DiveProtocol/Prefabs/Pickups/PF_Pickup_Medkit.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Unknown","_Cameras","Prefab","Assets/_DiveProtocol/Prefabs/Player/_Cameras.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer","Project self resource; Check collider/NavMesh needs manually"
"Unknown","PF_Player_Basic","Prefab","Assets/_DiveProtocol/Prefabs/Player/PF_Player_Basic.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource; Check collider/NavMesh needs manually"
"UI","DisplayCamera","Prefab","Assets/_DiveProtocol/Prefabs/UI/DisplayCamera.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource; Check collider/NavMesh needs manually"
"UI","PF_PixelDisplayCanvas","Prefab","Assets/_DiveProtocol/Prefabs/UI/PF_PixelDisplayCanvas.prefab","_DiveProtocol","General art asset","Yes","SCN_L01_Drainage, SCN_L02_Containment, SCN_L03_MaintenanceTransfer, SCN_L04_FacilityCore","Project self resource; Check collider/NavMesh needs manually"
"Unknown","SCN_Test_Player","Scene","Assets/_DiveProtocol/Scenes/Development/SCN_Test_Player.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_L01_Drainage","Scene","Assets/_DiveProtocol/Scenes/Levels/SCN_L01_Drainage.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_L02_Containment","Scene","Assets/_DiveProtocol/Scenes/Levels/SCN_L02_Containment.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_L03_MaintenanceTransfer","Scene","Assets/_DiveProtocol/Scenes/Levels/SCN_L03_MaintenanceTransfer.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_L04_FacilityCore","Scene","Assets/_DiveProtocol/Scenes/Levels/SCN_L04_FacilityCore.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_Loading","Scene","Assets/_DiveProtocol/Scenes/Levels/SCN_Loading.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_Bootstrap","Scene","Assets/_DiveProtocol/Scenes/System/SCN_Bootstrap.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_MainMenu","Scene","Assets/_DiveProtocol/Scenes/System/SCN_MainMenu.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Unknown","SCN_Results","Scene","Assets/_DiveProtocol/Scenes/System/SCN_Results.unity","_DiveProtocol","Sample or gameplay scene","No","","Project self resource"
"Texture","ReflectionProbe-0","Texture","Assets/_DiveProtocol/Scenes/Levels/SCN_L01_Drainage/ReflectionProbe-0.exr","_DiveProtocol","Texture map","Yes","SCN_L01_Drainage","Project self resource"
"Material","PolygonApocalypse_Material_01_B","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_01_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_01_C","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_01_C.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_02_B","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_02_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_02_C","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_02_C.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_03_B","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_03_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_03_C","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_03_C.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_04_B","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_04_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_04_C","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_04_C.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Burnt_01","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Burnt_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Road_01_Triplanar","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Road_01_Triplanar.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_01","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Vehicle_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_02","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Vehicle_02.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_03","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Vehicle_03.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_04","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Vehicle_04.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_05","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Vehicle_05.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_06","Material","Assets/PolygonApocalypse/Materials/Alts/PolygonApocalypse_Material_Vehicle_06.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_01_A","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_01_A.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_01_B","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_01_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_01_C","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_01_C.mat","PolygonApocalypse","Surface material","Yes","SCN_L02_Containment","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_02_A","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_02_A.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_02_B","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_02_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_02_C","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_02_C.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_03_A","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_03_A.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_03_B","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_03_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_03_C","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_03_C.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_04_A","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_04_A.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_04_B","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_04_B.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Chr_04_C","Material","Assets/PolygonApocalypse/Materials/Character_Mats/PolygonApocalypse_Material_Chr_04_C.mat","PolygonApocalypse","Surface material","Yes","SCN_L02_Containment","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Background_Bunker","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Background_Bunker.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Background_Mountains_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Background_Mountains_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Background_Mountains_02","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Background_Mountains_02.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Background_Mountains_03","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Background_Mountains_03.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Billboard_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Billboard_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Clouds","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Clouds.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_01_A_Temp","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Material_01_A_Temp.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Dirty_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Material_Dirty_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Fence_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Material_Fence_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Glass_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Material_Glass_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Overgrowth_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Material_Overgrowth_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Ocean","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Ocean.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Rubble_01","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Rubble_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Skydome_Day","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Skydome_Day.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Swamp_Water","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Swamp_Water.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Veh_Glass","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Veh_Glass.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Water","Material","Assets/PolygonApocalypse/Materials/Misc/PolygonApocalypse_Water.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_01_A","Material","Assets/PolygonApocalypse/Materials/PolygonApocalypse_Material_01_A.mat","PolygonApocalypse","Surface material","Yes","SCN_L02_Containment, SCN_L04_FacilityCore","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_02_A","Material","Assets/PolygonApocalypse/Materials/PolygonApocalypse_Material_02_A.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_03_A","Material","Assets/PolygonApocalypse/Materials/PolygonApocalypse_Material_03_A.mat","PolygonApocalypse","Surface material","Yes","SCN_L04_FacilityCore","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_04_A","Material","Assets/PolygonApocalypse/Materials/PolygonApocalypse_Material_04_A.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Road_Standard_01","Material","Assets/PolygonApocalypse/Materials/PolygonApocalypse_Material_Road_Standard_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Material_Vehicle_Standard_01","Material","Assets/PolygonApocalypse/Materials/PolygonApocalypse_Material_Vehicle_Standard_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","Andrew_Rubble_01","Material","Assets/PolygonApocalypse/Models/Materials/Andrew_Rubble_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","lambert1","Material","Assets/PolygonApocalypse/Models/Materials/lambert1.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","lambert32","Material","Assets/PolygonApocalypse/Models/Materials/lambert32.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","lambert33","Material","Assets/PolygonApocalypse/Models/Materials/lambert33.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","lambert661","Material","Assets/PolygonApocalypse/Models/Materials/lambert661.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","lambert921","Material","Assets/PolygonApocalypse/Models/Materials/lambert921.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","lambert922","Material","Assets/PolygonApocalypse/Models/Materials/lambert922.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","Land_Vehicle_Master_01","Material","Assets/PolygonApocalypse/Models/Materials/Land_Vehicle_Master_01.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","Overgrowth","Material","Assets/PolygonApocalypse/Models/Materials/Overgrowth.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","pasted__lambert2","Material","Assets/PolygonApocalypse/Models/Materials/pasted__lambert2.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
"Material","PolygonApocalypse_Texture_01_4k","Material","Assets/PolygonApocalypse/Models/Materials/PolygonApocalypse_Texture_01_4k.mat","PolygonApocalypse","Surface material","No","","Third-party imported asset; Imported material; URP compatibility should be verified"
